address,polling_place,house_num_low,house_num_high,district
Dennis Cir,Booker T Washington Academy,1,999999,2
Denslow Hill Rd,Dunbar Hill School,1,335,7
Denslow Hill Rd,Dunbar Hill School,336,999998,7
Denslow Hill Rd,Bear Path School,337,999999,8
Dessa Dr,Ridge Hill School,1,999999,6
Dest Dr,Miller Library,1,999999,1
Dickerman St,Miller Library,1,999999,1
Dix St,Keefe Community Center,1,999999,3
Dixwell Ave,Keefe Community Center,807,1219,3
Dixwell Ave,Booker T Washington Academy,1220,1720,2
Dixwell Ave,Spring Glen School,2466,2935,4
Dixwell Ave,Miller Library,2936,999999,1
Dixwell Ave,Booker T Washington Academy,1722,1770,2
Dixwell Ave,Dunbar Hill School,1772,1998,7
Dixwell Ave,Bear Path School,2000,2378,8
Dixwell Ave,Bear Path School,2380,2464,8
Dixwell Ave,Dunbar Hill School,1721,1999,7
Dixwell Ave,Spring Glen School,2001,2465,4
Doolittle Ln,West Woods School,1,999999,9
Doren Ave,Ridge Hill School,1,999999,6
Dorrance Pl,Spring Glen School,1,999999,4
Dorrance St,Spring Glen School,1,999999,4
Douglas Dr,West Woods School,1,999999,9
Downes Rd,West Woods School,1,999999,9
Duane Rd,Booker T Washington Academy,1,999999,2
Dudley Ct,Keefe Community Center,1,999999,3
Dudley St,Keefe Community Center,1,999999,3
Duel Dr,Bear Path School,1,999999,8
Dunbar Hill Rd,Dunbar Hill School,1,418,7
Dunbar Hill Rd,Dunbar Hill School,420,999998,7
Dunbar Hill Rd,Dunbar Hill School,419,999999,7
Dunbar Ln,Dunbar Hill School,1,999999,7
Dunn Ct,West Woods School,1,999999,9
Dunn Rd,West Woods School,1,999999,9
E Clover Cir,Dunbar Hill School,1,999999,7
E Gate Ln,Bear Path School,1,999999,8
Earl Ave,Bear Path School,1,999999,8
Earl Ave Ext,Bear Path School,1,999999,8
Eastland Rd,Ridge Hill School,1,50,6
Easton St,Keefe Community Center,1,999999,3
Eaton Woods Rd,West Woods School,1,999999,9
Edgecomb St,Ridge Hill School,1,999999,6
Edgehill Rd,Board Of Education Building,140,999999,5
Edgehill Ter,Board Of Education Building,1,999999,5
Edgemere Rd,Ridge Hill School,1,999999,6
Edgewood Ave,Miller Library,1,999999,1
Edmond St,Ridge Hill School,1,30,6
Edwards St,Keefe Community Center,1,999999,3
Eleanor St,Dunbar Hill School,1,999999,7
Elgin St,Spring Glen School,1,999999,4
Elihu St,Spring Glen School,1,999999,4
Elizabeth Rd,Dunbar Hill School,1,999999,7
Elliot Dr,Dunbar Hill School,1,999999,7
Elmer Ave,Booker T Washington Academy,2,999998,2
Elmer Ave,Keefe Community Center,1,999999,3
Eramo Ter,West Woods School,1,999999,9
Evergreen Ave,Spring Glen School,1,369,4
Evergreen Ave,Miller Library,370,999999,1
