STREET NAME,POLLING PLACE,RANGE
Dixwell Ave,Booker T Washington Academy,1722-1770
Dixwell Ave,Dunbar Hill School,1772-1998
Dixwell Ave,Bear Path School,2000-2378
Dixwell Ave,Bear Path School,2380-2464
Dixwell Ave,Dunbar Hill School,1721-1999
Dixwell Ave,Spring Glen School,2001-2465
Doolittle Ln,West Woods School,1-999999
Doren Ave,Ridge Hill School,1-999999
Dorrance Pl,Spring Glen School,1-999999
Dorrance St,Spring Glen School,1-999999
Douglas Dr,West Woods School,1-999999
Downes Rd,West Woods School,1-999999
Duane Rd,Booker T Washington Academy,1-999999
Dudley Ct,Keefe Community Center,1-999999
Dudley St,Keefe Community Center,1-999999
Duel Dr,Bear Path School,1-999999
Dunbar Hill Rd,Dunbar Hill School,1-418
Dunbar Hill Rd,Dunbar Hill School,420-999998
Dunbar Hill Rd,Dunbar Hill School,419-999999
Dunbar Ln,Dunbar Hill School,1-999999
Dunn Ct,West Woods School,1-999999
Dunn Rd,West Woods School,1-999999
E Clover Cir,Dunbar Hill School,1-999999
E Gate Ln,Bear Path School,1-999999
Earl Ave,Bear Path School,1-999999
Earl Ave Ext,Bear Path School,1-999999
Eastland Rd,Ridge Hill School,1-50
Easton St,Keefe Community Center,1-999999
Eaton Woods Rd,West Woods School,1-999999
Edgecomb St,Ridge Hill School,1-999999
Edgehill Rd,Board Of Education Building,140-999999
Edgehill Ter,Board Of Education Building,1-999999
Edgemere Rd,Ridge Hill School,1-999999
Edgewood Ave,Miller Library,1-999999
Edmond St,Ridge Hill School,1-30
Edwards St,Keefe Community Center,1-999999
Eleanor St,Dunbar Hill School,1-999999
Elgin St,Spring Glen School,1-999999
Elihu St,Spring Glen School,1-999999
Elizabeth Rd,Dunbar Hill School,1-999999
Elliot Dr,Dunbar Hill School,1-999999
Elmer Ave,Booker T Washington Academy,2-999998
Elmer Ave,Keefe Community Center,1-999999
Eramo Ter,West Woods School,1-999999
Evergreen Ave,Spring Glen School,1-369
Evergreen Ave,Miller Library,370-999999
Exeter Rd,West Woods School,1-999999
Fairview Ave,Keefe Community Center,1-999999
Fallon Dr,Dunbar Hill School,1-999999
Fans Rock Rd,Bear Path School,2-324
Fans Rock Rd,West Woods School,1-239
Farm Brook Ct,Bear Path School,1-999999
Farmington Dr,West Woods School,1-999999
Farnsworth St,Board Of Education Building,1-999999
Farrell St,Miller Library,1-999999
Fawn Ridge Dr,Dunbar Hill School,1-999999
Federal St,Dunbar Hill School,1-999999
Fennbrook Dr,Ridge Hill School,1-999999
Fenway Dr,Ridge Hill School,1-999999
Ferguson Rd,Miller Library,1-999999
Fern St,Board Of Education Building,1-999999
Fernwood Rd,Ridge Hill School,1-999999
Field Crest Ln,Dunbar Hill School,1-999999
Field View Ln,Dunbar Hill School,1-999999
Filbert St,Spring Glen School,1-999999
First St,Keefe Community Center,1-999999
Fitch St,Keefe Community Center,599-999999
Flower Dr,Miller Library,1-999999
Foote St,Ridge Hill School,1-999999
Ford St,Ridge Hill School,58-999999
Ford St,Ridge Hill School,2-56
Ford St,Spring Glen School,1-57
Forest Court N,Spring Glen School,1-999999
Forest Court S,Spring Glen School,1-999999
Forest St,Miller Library,1-129
Forest St,Spring Glen School,130-999998
Forest St,Miller Library,131-999999
Four Rod Rd,Bear Path School,1-18
Four Rod Rd,Bear Path School,20-999998
Four Rod Rd,Bear Path School,19-999999
Fourth St,Keefe Community Center,1-999999
Francis Ave,Board Of Education Building,2-999998
Francis Ave,Board Of Education Building,1-999999
Franklin Rd,Ridge Hill School,1-999999
Frazier Rd,West Woods School,1-999999
Frederick St,Board Of Education Building,1-999999
Funaro Rd,Bear Path School,1-999999
Furman Rd,Keefe Community Center,1-999999
Garfield St,Dunbar Hill School,1-999999
Garvin Rd,West Woods School,1-999999
Gate Way,West Woods School,1-999999
Gaylord Mtn Rd,West Woods School,1-1175
George St,Keefe Community Center,1-999999
Gessner Pl,Board Of Education Building,1-999999
Gilbert Ave,Booker T Washington Academy,1-180
Gilbert Ave,Dunbar Hill School,181-999999
Giles St,Board Of Education Building,1-999999
Gillies Rd,Ridge Hill School,1-999999
Glemby St,Keefe Community Center,1-999999
Glen Pkwy,Ridge Hill School,1-999999
Glen Ridge Rd,Spring Glen School,1-999999
Glenbrook Ave,Keefe Community Center,1-999999
Glendale St,Board Of Education Building,1-999999
Glendower Rd,Spring Glen School,1-999999
Glenham Rd,Miller Library,1-999999
Goebel Rd,Bear Path School,1-999999
Goodrich St,Board Of Education Building,1-59
Goodrich St,Board Of Education Building,60-196
Goodrich St,Keefe Community Center,197-999999
Goodsell Rd,Miller Library,1-999999
Gordon St,Spring Glen School,1-999999
Gorham Ave,Dunbar Hill School,1-108
Gorham Ave,Dunbar Hill School,109-124
Gorham Ave,Dunbar Hill School,125-999999
Gorham Dr,Dunbar Hill School,1-999999
Grafton Rd,Ridge Hill School,1-999999
Grandview Ave,Booker T Washington Academy,1-278
Grandview Ave,Booker T Washington Academy,280-999998
Grandview Ave,Dunbar Hill School,279-999999
Greenes Ridge Rd,West Woods School,1-999999
Greenhill Rd,Booker T Washington Academy,1-999999
Greenway St,Spring Glen School,1-999999
Guenevere Ct,West Woods School,1-999999
Haig St,Booker T Washington Academy,1-999999
Hall St,Board Of Education Building,1-999999
Hamden Hls Dr,Spring Glen School,1-999999
Hampshire Dr,Miller Library,1-999999
Hampton Rd,Miller Library,1-999999
Handy Rd,West Woods School,1-999999
Harding St,Miller Library,1-999999
Harmon St,Spring Glen School,1-999999
Harris St,Keefe Community Center,1-999999
Harrison Dr,Dunbar Hill School,1-999999
Hartford Tpke,Ridge Hill School,81-999999
Hartford Tpke,Board Of Education Building,2-80
Hartford Tpke,Ridge Hill School,1-79
Haverford St,Ridge Hill School,1-999999
Hawley Rd,Ridge Hill School,1-999999
Hawthorne Ave,Spring Glen School,1-999999
Hayward Rd,Booker T Washington Academy,1-999999
Haywood Ln,Booker T Washington Academy,2-999998
Haywood Ln,Dunbar Hill School,1-999999
Hearn Ln,Dunbar Hill School,1-999999
Heather Rd,Miller Library,1-999999
Heathridge Rd,Dunbar Hill School,1-999999
Helen St,Keefe Community Center,2-270
Helen St,Booker T Washington Academy,272-999998
Helen St,Booker T Washington Academy,1-999999
Heloise St,Board Of Education Building,1-999999
Hepburn Rd,Ridge Hill School,1-999999
Hesse Rd,Ridge Hill School,1-999999
Hidden Brook Rd,Bear Path School,1-999999
Hideaway Ln,Bear Path School,1-999999
High Ln,Ridge Hill School,1-999999
High Meadow Rd,Ridge Hill School,1-999999
High Ridge Rd,Dunbar Hill School,1-999999
High Rock Rd,Bear Path School,1-999999
High Top Cir,Keefe Community Center,1-999999
High Top Cir E,Keefe Community Center,1-999999
High Top Cir W,Keefe Community Center,1-999999
High View Ter,Bear Path School,1-999999
Highland Ave,Miller Library,1-999999
Highland View Ave,Ridge Hill School,1-999999
Highwood Ave,Dunbar Hill School,1-999999
Hill St,Bear Path School,701-999999
Hill St,Dunbar Hill School,2-420
Hill St,Dunbar Hill School,422-700
Hill St,Bear Path School,1-699
Hillcrest Ave,Booker T Washington Academy,1-999999
Hillfield Rd,West Woods School,1-999999
Hilltop Rd,Bear Path School,1-999999
Hillview Ave,Bear Path School,1-999999
Hobson Ave,Dunbar Hill School,1-999999
Hodder Dr,Dunbar Hill School,1-999999
Hogan Rd,Miller Library,2-320
Hogan Rd,West Woods School,322-999998
Hogan Rd,West Woods School,1-999999
Home Pl,Miller Library,1-999999
Homelands Ter,Board Of Education Building,2-999998
Homelands Ter,Board Of Education Building,1-999999
Homestead Ave,Booker T Washington Academy,1-999999
Hope Ave,Dunbar Hill School,1-999999
Hotchkiss Ln,West Woods School,1-999999
Howard Dr,Bear Path School,1-140
Howard Dr,Bear Path School,173-226
Howard Dr,Bear Path School,142-172
Howard Dr,Dunbar Hill School,228-999998
Howard Dr,Bear Path School,141-171
Howard Dr,Bear Path School,227-999999
Howell Ave,Spring Glen School,1-999999
Hubbard PI,Ridge Hill School,1-999999
Hume Dr,Bear Path School,1-999999
Humiston Ave,Spring Glen School,1-999999
Hunters Way,Dunbar Hill School,1-999999
Hunting Ridge Rd,West Woods School,1-999999
Huntington Cir,West Woods School,1-999999
Ingleside Dr,Dunbar Hill School,1-999999
Ingram St,Spring Glen School,1-999999
Ives St,Miller Library,1-999999
Jackson Rd,Ridge Hill School,1-999999
Jaenicke Ln,Board Of Education Building,1-999999
James St,Miller Library,1-999999
Jamestown Rd,Spring Glen School,1-999999
Jayne Ln,Bear Path School,1-999999
Jean St,Ridge Hill School,1-999999
Jennifer Rd,Dunbar Hill School,1-999999
Jesswig Dr,Ridge Hill School,1-999999
Johnson Rd,West Woods School,1-999999
Jones Rd,Keefe Community Center,1-999999
Joseph Ln,Dunbar Hill School,1-999999
Joyce Rd,Bear Path School,1-999999
Joyce Rd li,West Woods School,1-999999
Julian Dr,West Woods School,1-999999
Katherine Dr,Dunbar Hill School,1-999999
Kaye Plz,Bear Path School,1-999999
Kaye Vue Dr,Bear Path School,1-999999
Kelly Rd,West Woods School,1-999999
Kenwood Ave,Miller Library,2-999998
Kenwood Ave,West Woods School,1-999999
Killdeer Rd,Ridge Hill School,1-999999
Kimberly Rd,West Woods School,1-999999
King St,Board Of Education Building,1-999999
Kirk Rd,Bear Path School,1-999999
